t_baro,P_static
0.05000000,101315.06704594
0.10000000,101132.97383805
0.15000000,101161.66714228
0.20000000,101145.59076100
0.25000000,101140.49102133
0.30000000,101152.17882037
0.35000000,101142.69024043
0.40000000,101132.57924784
0.45000000,101150.73266283
0.50000000,101131.97092862
0.55000000,101154.08263790
0.60000000,101160.30030787
0.65000000,101155.98206279
0.70000000,101130.09523911
0.75000000,101155.43462891
0.80000000,101137.92049647
0.85000000,101151.26496173
0.90000000,101163.62791727
0.95000000,101132.52676995
1.00000000,101148.49802891
1.05000000,101144.53241998
1.10000000,101163.67908480
1.15000000,101150.34627852
1.20000000,101148.85068087
1.25000000,101150.70845232
1.30000000,101157.92692217
1.35000000,101146.67987388
1.40000000,101143.54039211
1.45000000,101134.55828286
1.50000000,101143.06740308
1.55000000,101159.75184778
1.60000000,101134.62926011
1.65000000,101148.11269261
1.70000000,101155.65935870
1.75000000,101152.51565388
1.80000000,101150.64979305
1.85000000,101136.57790770
1.90000000,101148.65321527
1.95000000,101152.05724438
2.00000000,101154.25656666
2.05000000,101167.11152184
2.10000000,101127.98416983
2.15000000,101146.88987313
2.20000000,101140.31191310
2.25000000,101140.00854389
2.30000000,101127.02459361
2.35000000,101150.41980440
2.40000000,101149.30616306
2.45000000,101147.98395700
2.50000000,101128.78961336
2.55000000,101143.91454386
2.60000000,101133.54758682
2.65000000,101163.95865560
2.70000000,101152.95559206
2.75000000,101135.41723197
2.80000000,101155.95304864
2.85000000,101136.94534783
2.90000000,101152.81854350
2.95000000,101133.82072776
3.00000000,101153.34626791
3.05000000,101150.57163576
3.10000000,101159.98884323
3.15000000,101163.74768544
3.20000000,101154.35776681
3.25000000,101139.39473393
3.30000000,101158.92539487
3.35000000,101148.45416493
3.40000000,101139.02745796
3.45000000,101148.15485922
3.50000000,101143.18794142
3.55000000,101139.77552624
3.60000000,101140.63280726
3.65000000,101147.34810593
3.70000000,101154.97125928
3.75000000,101136.81495781
3.80000000,101138.28072694
3.85000000,101136.56402106
3.90000000,101140.83818455
3.95000000,101141.18082582
4.00000000,101147.00758103
4.05000000,101134.77653855
4.10000000,101137.31020717
4.15000000,101151.76835581
4.20000000,101149.89274348
4.25000000,101138.57779353
4.30000000,101159.35873756
4.35000000,101132.80317067
4.40000000,101155.09666403
4.45000000,101151.07090564
4.50000000,101146.88941660
4.55000000,101149.77335839
4.60000000,101135.64919032
4.65000000,101131.61800738
4.70000000,101144.16886492
4.75000000,101133.41604431
4.80000000,101144.20672378
4.85000000,101147.64180300
4.90000000,101164.30993413
4.95000000,101123.54011568
5.00000000,101160.16672499
5.05000000,101143.46319294
5.10000000,101139.59847249
5.15000000,101140.78030022
5.20000000,101120.12718803
5.25000000,101111.95939406
5.30000000,101094.54462799
5.35000000,101095.85398385
5.40000000,101083.55472901
5.45000000,101079.80011257
5.50000000,101054.09892464
5.55000000,101013.84986774
5.60000000,101001.10489084
5.65000000,101002.35756198
5.70000000,100976.69557281
5.75000000,100971.03904599
5.80000000,100945.28091838
5.85000000,100917.23322864
5.90000000,100892.34666379
5.95000000,100852.12580597
6.00000000,100837.42252872
6.05000000,100805.70619936
6.10000000,100767.70477476
6.15000000,100747.31007293
6.20000000,100715.97757562
6.25000000,100661.92249927
6.30000000,100647.36715845
6.35000000,100586.10942127
6.40000000,100568.22218329
6.45000000,100518.96777539
6.50000000,100480.16114239
6.55000000,100447.90039817
6.60000000,100389.19497851
6.65000000,100339.97399559
6.70000000,100316.10418447
6.75000000,100244.24952289
6.80000000,100186.09832579
6.85000000,100132.84427965
6.90000000,100093.82030464
6.95000000,100039.50820192
7.00000000,99993.39140274
7.05000000,99918.91020168
7.10000000,99866.14116567
7.15000000,99806.03738104
7.20000000,99752.69909122
7.25000000,99706.95560997
7.30000000,99632.59988036
7.35000000,99567.40358980
7.40000000,99501.39220069
7.45000000,99439.48596450
7.50000000,99359.19116341
7.55000000,99309.01247328
7.60000000,99247.92229497
7.65000000,99180.75943161
7.70000000,99105.53100576
7.75000000,99003.60503920
7.80000000,98914.83583168
7.85000000,98869.29061426
7.90000000,98780.82934732
7.95000000,98694.57907783
8.00000000,98628.53665367
8.05000000,98559.63162031
8.10000000,98459.93319557
8.15000000,98381.89504865
8.20000000,98266.41962225
8.25000000,98208.12671839
8.30000000,97992.03061174
8.35000000,97894.06572417
8.40000000,97793.72048237
8.45000000,97712.57595374
8.50000000,97608.38239977
8.55000000,97511.56812615
8.60000000,97419.73934746
8.65000000,97316.06717860
8.70000000,97228.74279873
8.75000000,97094.04283284
8.80000000,97004.77604250
8.85000000,96903.20079904
8.90000000,96801.90682641
8.95000000,96688.53448975
9.00000000,96601.75622563
9.05000000,96484.40564103
9.10000000,96334.78388265
9.15000000,96247.95066928
9.20000000,96129.62901560
9.25000000,96018.28235133
9.30000000,95895.26245236
9.35000000,95780.39375212
9.40000000,95634.05248074
9.45000000,95537.04546284
9.50000000,95420.59460492
9.55000000,95284.19376172
9.60000000,95143.03716805
9.65000000,95036.96121932
9.70000000,94912.17780179
9.75000000,94789.82292946
9.80000000,94676.59058040
9.85000000,94530.41992145
9.90000000,94410.60919646
9.95000000,94262.35614763
10.00000000,94140.41575613
10.05000000,93977.71249761
10.10000000,93870.28085282
10.15000000,93723.69657581
10.20000000,93589.65795304
10.25000000,93447.17572925
10.30000000,93296.84728508
10.35000000,93164.56923306
10.40000000,93016.55504967
10.45000000,92862.36376175
10.50000000,92713.04499340
10.55000000,92592.10335071
10.60000000,92433.08345538
10.65000000,92273.78461469
10.70000000,92135.05368242
10.75000000,91965.56040802
10.80000000,91846.34108817
10.85000000,91672.80151464
10.90000000,91532.71510113
10.95000000,91355.65641209
11.00000000,91213.02810950
11.05000000,91058.73745816
11.10000000,90923.62578871
11.15000000,90723.31025793
11.20000000,90576.26135234
11.25000000,90426.72237502
11.30000000,90235.56454677
11.35000000,90094.42849706
11.40000000,89912.64006867
11.45000000,89749.62130789
11.50000000,89569.36190032
11.55000000,89408.23269261
11.60000000,89252.09670165
11.65000000,89079.09474126
11.70000000,88907.69884775
11.75000000,88740.01755178
11.80000000,88568.14254503
11.85000000,88385.16891501
11.90000000,88212.75338214
11.95000000,88029.72565387
12.00000000,87838.38998281
12.05000000,87682.54260354
12.10000000,87515.59668166
12.15000000,87307.30368500
12.20000000,87141.36831290
12.25000000,86953.29873100
12.30000000,86770.11723070
12.35000000,86576.53024996
12.40000000,86398.60419235
12.45000000,86215.93629298
12.50000000,86024.12469750
12.55000000,85848.13055607
12.60000000,85637.17362684
12.65000000,85465.03824434
12.70000000,85249.85767557
12.75000000,85061.62866001
12.80000000,84870.64549279
12.85000000,84677.60188628
12.90000000,84476.52200197
12.95000000,84276.29135684
13.00000000,84093.05967074
13.05000000,83918.27327275
13.10000000,83708.77548866
13.15000000,83496.87325234
13.20000000,83306.34054601
13.25000000,83115.46359703
13.30000000,82912.20541885
13.35000000,82700.51293199
13.40000000,82498.74597978
13.45000000,82273.07896046
13.50000000,82082.34481341
13.55000000,81881.77128430
13.60000000,81650.59555751
13.65000000,81477.12935848
13.70000000,81251.49167214
13.75000000,81043.49935676
13.80000000,80833.44269483
13.85000000,80626.78514244
13.90000000,80404.90720310
13.95000000,80221.46417797
14.00000000,80001.30557081
14.05000000,79776.19176662
14.10000000,79558.53011459
14.15000000,79333.96199163
14.20000000,79115.58163202
14.25000000,78915.62196203
14.30000000,78706.80728078
14.35000000,78492.95071077
14.40000000,78254.63825380
14.45000000,78045.79237374
14.50000000,77811.67888707
14.55000000,77610.21342577
14.60000000,77380.26526139
14.65000000,77172.26547604
14.70000000,76931.21986355
14.75000000,76704.17778748
14.80000000,76497.62832413
14.85000000,76250.91160568
14.90000000,76041.64999287
14.95000000,75791.33434994
15.00000000,75574.45069634
15.05000000,75347.25993538
15.10000000,75105.31006657
15.15000000,74893.25689038
15.20000000,74671.63972381
15.25000000,74429.05176443
15.30000000,74201.14249200
15.35000000,73981.63848997
15.40000000,73721.76693130
15.45000000,73515.77374696
15.50000000,73282.12349596
15.55000000,73051.14030293
15.60000000,72800.45738863
15.65000000,72572.84960365
15.70000000,72330.71231570
15.75000000,72104.91705743
15.80000000,71859.52778397
15.85000000,71637.05255238
15.90000000,71388.73561842
15.95000000,71166.01936558
16.00000000,70905.27980786
16.05000000,70665.66307172
16.10000000,70452.55980746
16.15000000,70199.93475233
16.20000000,69974.95732532
16.25000000,69718.22069689
16.30000000,69491.24831630
16.35000000,69216.53330430
16.40000000,68982.47906012
16.45000000,68771.58792153
16.50000000,68503.54720562
16.55000000,68247.40646575
16.60000000,68022.17828769
16.65000000,67764.51708657
16.70000000,67523.61469289
16.75000000,67281.24273544
16.80000000,67049.36277710
16.85000000,66805.27966866
16.90000000,66556.96239815
16.95000000,66296.79183552
17.00000000,66046.94637455
17.05000000,65799.26968052
17.10000000,65566.73346775
17.15000000,65311.13859882
17.20000000,65059.27077008
17.25000000,64815.88695406
17.30000000,64578.52527549
17.35000000,64317.77464332
17.40000000,64074.36984168
17.45000000,63837.30807519
17.50000000,63563.61488360
17.55000000,63328.25247693
17.60000000,63049.98404462
17.65000000,62812.73409361
17.70000000,62570.06931701
17.75000000,62315.38342233
17.80000000,62061.38712476
17.85000000,61813.12146737
17.90000000,61553.91228709
17.95000000,61292.08494820
18.00000000,61051.41263776
18.05000000,60801.90084633
18.10000000,60537.48454183
18.15000000,60295.69178714
18.20000000,60034.82395993
18.25000000,59779.22713182
18.30000000,59548.16069376
18.35000000,59274.80376369
18.40000000,59029.63092797
18.45000000,58771.78647556
18.50000000,58507.39995243
18.55000000,58252.14804210
18.60000000,58015.93037771
18.65000000,57764.39038266
18.70000000,57497.11128639
18.75000000,57221.35735744
18.80000000,57004.07162888
18.85000000,56734.16294450
18.90000000,56470.75037930
18.95000000,56202.42197813
19.00000000,55954.23681077
19.05000000,55691.91290531
19.10000000,55447.91870008
19.15000000,55188.48059996
19.20000000,54944.64669809
19.25000000,54684.03385155
19.30000000,54405.31395610
19.35000000,54151.12973371
19.40000000,53895.24940056
19.45000000,53646.01594914
19.50000000,53404.56862106
19.55000000,53138.54816383
19.60000000,52877.55535836
19.65000000,52647.07137542
19.70000000,52385.67288568
19.75000000,52129.82499110
19.80000000,51840.54569195
19.85000000,51594.12719421
19.90000000,51344.69253128
19.95000000,51087.39836410
20.00000000,50827.27680165
20.05000000,50570.87585315
20.10000000,50314.87365470
20.15000000,50070.99560103
20.20000000,49806.39602601
20.25000000,49541.38891698
20.30000000,49287.57845282
20.35000000,49025.56731469
20.40000000,48778.48085812
20.45000000,48506.75274945
20.50000000,48261.24205000
20.55000000,48005.72604937
20.60000000,47761.10089356
20.65000000,47482.68757962
20.70000000,47224.04731631
