t_IMU,f_X,f_Y,f_Z,w_X,w_Y,w_Z
0.00000000,-0.03679369,-0.04300766,9.75507135,0.00238453,-0.00577588,0.00678962
0.00250000,0.00118502,0.01105594,9.75923600,-0.00124535,0.01049694,-0.00167964
0.00500000,0.07619799,-0.02780780,9.82240551,-0.00321324,-0.01353521,0.00238101
0.00750000,0.07732853,-0.02073336,9.71172501,-0.00292157,-0.00325411,0.00814594
0.01000000,-0.05651744,-0.01935090,9.79758079,-0.00191489,0.00075477,-0.00937266
0.01250000,-0.03646421,-0.00778167,9.90941436,-0.00055617,-0.01169872,-0.00551797
0.01500000,0.03085773,0.05538862,9.80684119,0.00891698,-0.00887167,-0.01259686
0.01750000,0.03202144,-0.01900298,9.78890152,-0.00118568,-0.00536274,-0.00899263
0.02000000,-0.01028092,0.01448071,9.79566633,-0.01222770,0.00292654,0.00442691
0.02250000,0.03018264,0.03136013,9.90432502,-0.01072247,-0.00283748,0.01125421
0.02500000,-0.00447039,-0.06636458,9.82415101,0.01344336,-0.01382292,-0.00734442
0.02750000,-0.03371859,-0.08441139,9.79280531,0.01053749,-0.00040620,0.01204612
0.03000000,0.00478531,-0.00283449,9.82944656,-0.00349066,-0.02309436,0.00953560
0.03250000,0.10737917,0.11220825,9.97250716,-0.00300379,0.00799763,-0.00961198
0.03500000,-0.02870321,-0.03254757,9.84982935,-0.00150697,-0.01230180,-0.00743329
0.03750000,-0.08773014,-0.07330098,9.86007004,-0.00579464,-0.00512140,0.01282220
0.04000000,0.02159469,-0.02378263,9.69382124,-0.00407908,-0.01337391,0.00261478
0.04250000,-0.03074699,0.00908932,9.75870161,-0.01106171,-0.00021077,-0.00509268
0.04500000,-0.05985218,0.04253258,9.85006778,-0.00035457,-0.00510133,-0.00994559
0.04750000,0.00165227,-0.00814672,9.88182626,0.00766684,-0.01589672,-0.00929361
0.05000000,0.02614996,-0.06661117,9.86755481,-0.01008162,-0.01852955,0.00831064
0.05250000,0.01505715,0.06190029,9.81294666,-0.01191413,-0.00602012,-0.00197657
0.05500000,0.01676079,-0.00983769,9.80912699,0.01427769,0.01746245,-0.01338618
0.05750000,0.04347742,-0.03313031,9.89201208,-0.00223276,-0.01139993,0.00476276
0.06000000,0.01599786,0.04054142,9.81602708,0.00473195,-0.00346214,0.00449128
0.06250000,-0.03605166,-0.06664302,9.76184189,-0.01589984,0.00322338,-0.00653799
0.06500000,-0.01654620,-0.01842985,9.84528438,-0.01380575,0.00418924,0.00296998
0.06750000,-0.02241934,0.04208516,9.75040233,0.00080136,0.00914231,-0.01205238
0.07000000,-0.06129541,-0.04145794,9.77484360,-0.00513510,-0.00200084,-0.00833437
0.07250000,-0.04069235,-0.05799044,9.77822399,-0.00640967,0.00913671,0.00731957
0.07500000,-0.07782448,-0.01408543,9.79988300,0.01056005,0.01237450,0.01126257
0.07750000,-0.04518193,-0.07410748,9.75605532,-0.01366525,0.00488339,0.00523282
0.08000000,-0.05158934,-0.05607681,9.75888001,0.00833118,-0.02083470,0.00590522
0.08250000,0.03533548,0.03598716,9.83239781,0.00726941,-0.00455510,-0.00818812
0.08500000,-0.09372515,-0.03137939,9.80699020,0.00099171,0.00822443,-0.00226603
0.08750000,0.02211092,0.04842766,9.80412586,-0.00298352,-0.01462700,-0.00999185
0.09000000,0.05008405,0.00927145,9.71425453,0.00180099,-0.00719008,0.00855365
0.09250000,-0.02977836,-0.00336007,9.87112252,0.00787795,0.00329692,0.01574522
0.09500000,0.06144130,-0.04037378,9.79746264,0.00354501,0.01214542,-0.00233023
0.09750000,-0.07629118,0.02937238,9.78920182,0.01490699,-0.02286020,0.02116360
0.10000000,-0.03402248,-0.10291565,9.80573391,0.00980569,-0.00240272,0.00999202
0.10250000,-0.02587794,0.06199823,9.78598719,0.00408698,0.01709783,0.00485399
0.10500000,-0.02099708,-0.03294672,9.82471908,-0.01074595,-0.00183243,-0.00476242
0.10750000,-0.08666303,0.01762754,9.85411215,-0.00299326,-0.01473694,0.00462345
0.11000000,-0.09930827,-0.03166089,9.79796489,-0.00543774,-0.01616076,0.00425989
0.11250000,0.00417747,-0.00990076,9.86204833,-0.00364028,0.00532147,-0.02019446
0.11500000,0.02538608,-0.04503744,9.83947208,-0.01075643,0.00905942,-0.00096511
0.11750000,0.04766893,0.07103783,9.82116713,-0.01016418,0.00450117,-0.00880291
0.12000000,0.01618612,-0.04004393,9.74797407,-0.00856136,0.00394277,-0.00098883
0.12250000,0.02898912,-0.02588760,9.86917794,-0.01480721,-0.00092047,-0.01110738
0.12500000,0.01309763,0.07087152,9.80963102,0.00961480,0.00514687,0.00149343
0.12750000,0.04723951,0.00806617,9.80190459,-0.00264929,0.00580696,-0.01346368
0.13000000,0.05169972,-0.10800135,9.79587076,0.00604780,-0.00680415,0.00291316
0.13250000,-0.03458721,-0.02622131,9.85831180,0.00608008,-0.00612274,-0.00859350
0.13500000,0.03258174,-0.04169595,9.82113038,0.00070967,-0.00618934,0.00690909
0.13750000,0.10731186,-0.10295253,9.76082540,-0.00447304,-0.00669856,0.01304250
0.14000000,-0.00842319,0.02182836,9.82170581,0.01292823,-0.01248893,-0.00344742
0.14250000,-0.05942630,-0.11291789,9.70130652,-0.00843850,-0.00611177,0.01479283
0.14500000,0.00950627,-0.00908795,9.74307758,-0.01217666,0.00543413,0.01699097
0.14750000,-0.04883768,-0.00094847,9.80458108,-0.00675203,0.01555740,0.02054417
0.15000000,0.06760436,0.08160280,9.83790123,-0.01545142,-0.00412364,-0.00220181
0.15250000,0.00253681,0.06257680,9.77623991,0.02607473,-0.00039906,0.00457719
0.15500000,0.09307397,0.04576622,9.76735813,-0.00178996,0.00035970,-0.02191276
0.15750000,-0.00337163,-0.02266306,9.79298871,0.00358670,0.01705785,0.01674104
0.16000000,0.02791696,-0.03985349,9.77488537,0.00862612,-0.00595818,-0.00377251
0.16250000,-0.07660401,0.05518670,9.81254238,0.01036740,0.00835133,0.00524098
0.16500000,0.02800009,0.05249186,9.72348686,-0.00843490,0.00317925,0.02969777
0.16750000,-0.01613092,0.01280218,9.75883883,0.00415177,-0.00011806,-0.00070747
0.17000000,0.05913993,0.06307912,9.80969498,-0.01909422,0.01530219,0.01122842
0.17250000,-0.01834110,0.02169280,9.87023555,-0.01251404,-0.00869366,-0.02663644
0.17500000,0.00819754,-0.05714724,9.71314984,-0.01252314,0.00762697,0.01643191
