t_mag,m_X,m_Y,m_Z
0.02000000,25.06020500,2.81478190,38.41491764
0.07000000,24.39087789,3.59259991,37.96027617
0.12000000,25.25418217,3.83297457,38.77781182
0.17000000,24.47750279,2.93360859,38.05881911
0.22000000,23.81712998,2.88074576,36.57707799
0.27000000,23.86124686,3.88944404,37.32804845
0.32000000,25.11100044,3.82531482,39.15383028
0.37000000,24.50517364,3.45613531,38.27843625
0.42000000,23.15652987,2.65205866,38.70206004
0.47000000,25.07441719,2.45859495,37.60552818
0.52000000,24.14905554,3.25924130,37.47417916
0.57000000,24.10272673,3.22849560,37.93704064
0.62000000,24.23827397,2.87051983,38.32558340
0.67000000,23.92004006,2.97894875,37.80466985
0.72000000,23.76966439,2.88357775,37.54944831
0.77000000,24.53934422,2.80960450,38.41437409
0.82000000,24.32923028,2.97146900,37.76652979
0.87000000,24.14864127,3.87138052,38.07134497
0.92000000,24.14490787,2.96950692,37.08621819
0.97000000,24.59177253,2.81578609,37.55411162
1.02000000,25.75032845,3.74744824,38.02798868
1.07000000,24.17048287,3.57588127,38.46045500
1.12000000,24.33078355,3.98138269,37.97928960
1.17000000,24.83884740,3.05441333,38.39552940
1.22000000,23.31118235,4.45410456,37.70372599
1.27000000,24.74248926,3.30167113,38.13371098
1.32000000,23.61275883,3.48940675,38.63604964
1.37000000,23.93344123,3.32229264,38.37258007
1.42000000,24.99499064,4.05600581,37.87424032
1.47000000,23.99805249,3.43294634,38.31404082
1.52000000,24.34453953,4.14757838,37.72067559
1.57000000,25.06908662,3.04937416,37.56518195
1.62000000,25.04911592,2.54567469,37.95481776
1.67000000,24.47696435,3.54921710,38.31984498
1.72000000,24.51675166,2.43766299,37.89637379
1.77000000,25.30300228,3.93255126,38.56246572
1.82000000,24.27407361,1.91620660,37.99299391
1.87000000,24.69615891,3.72518274,37.89957862
1.92000000,24.50637876,2.45900022,38.96492549
1.97000000,23.99248804,3.32892529,38.41895572
2.02000000,24.86475992,2.42983326,37.44521237
2.07000000,24.22065589,3.37897515,37.85309304
2.12000000,24.77153241,2.99678583,38.66253853
2.17000000,24.33994386,1.97788780,38.27030342
2.22000000,24.46281785,3.58325629,37.71686727
2.27000000,23.76518439,3.47109468,37.65113090
2.32000000,24.25767779,3.07969166,38.09303667
2.37000000,24.79984178,2.62371557,37.78002046
2.42000000,24.39438486,3.08479259,38.45826128
2.47000000,24.54546081,2.95262012,37.47522287
2.52000000,24.13823520,3.07891706,37.64021026
2.57000000,24.42766385,3.51925862,38.03921263
2.62000000,24.27360007,3.95978987,38.26252787
2.67000000,24.00976322,3.30192290,36.96164697
2.72000000,24.40966922,3.78818149,38.11863750
2.77000000,24.87341183,2.53057611,37.38141124
2.82000000,23.99493499,2.11591527,37.75177883
2.87000000,24.84579791,2.74697672,38.45690696
