t_IMU,f_X,f_Y,f_Z,w_X,w_Y,w_Z
0.00000000,0.15034249,0.01940664,9.86458784,0.00401159,0.00068469,0.01383135
0.00250000,0.04019129,0.02055590,9.80322347,0.02553652,-0.02625744,0.01122167
0.00500000,-0.02740385,0.01829827,9.71828096,0.00710634,-0.02867868,-0.00021986
0.00750000,0.05200610,0.01444067,9.78973934,0.00484233,-0.00813067,0.00481418
0.01000000,0.02443477,-0.04994360,9.77252751,0.00661571,-0.00041715,-0.00179291
0.01250000,0.06275283,-0.00246028,9.91812724,-0.01150997,0.00577999,0.00692375
0.01500000,0.14529836,0.02217544,9.83432264,-0.00143371,-0.00387688,0.00001155
0.01750000,0.09968615,-0.09730430,9.76123340,-0.00001098,-0.00907138,-0.00131032
0.02000000,0.00825796,0.00752639,9.82753460,0.00419727,-0.00933129,0.01711827
0.02250000,0.02422509,0.02838530,9.82283735,0.00604875,-0.00984374,0.00432677
0.02500000,0.04693935,0.00448231,9.79433417,-0.01201761,0.00646449,0.01100398
0.02750000,-0.02270349,-0.05917032,9.84342695,0.01302350,-0.01970045,0.01047994
0.03000000,0.00916133,0.08308774,9.83109572,0.00425535,0.00605061,0.01491682
0.03250000,0.11483261,-0.06166317,9.82902934,-0.00283801,-0.01471806,-0.00320039
0.03500000,-0.04183223,-0.01198168,9.87048858,0.01445281,0.00406508,0.00270990
0.03750000,0.00717010,-0.01357896,9.85168066,0.00313885,-0.01779877,0.00997358
0.04000000,0.12274232,-0.04251294,9.78142310,0.00188680,-0.01539361,0.01900524
0.04250000,-0.00232093,-0.00464866,9.79521697,0.01209577,-0.02063653,-0.00015912
0.04500000,0.04293847,0.03924051,9.77289566,0.00164541,-0.00010358,0.02524289
0.04750000,0.10814321,-0.06869086,9.84971326,0.00551316,0.00107640,0.01738669
0.05000000,0.03430152,0.09220093,9.80036344,-0.00837408,-0.00582295,0.00610299
0.05250000,0.02651682,0.02206046,9.87094562,0.01032108,-0.01000036,-0.00342399
0.05500000,0.01344198,0.08499662,9.76893002,0.02776094,-0.02416235,0.00905401
0.05750000,-0.02208949,-0.00264377,9.78254711,0.01135016,-0.00534665,-0.00406833
0.06000000,-0.05414600,0.06212477,9.86726228,0.00595628,-0.00139010,-0.00247246
0.06250000,-0.09206061,0.03762867,9.87880140,-0.00908303,-0.01281269,0.01623495
0.06500000,-0.03733898,0.05263823,9.74581367,0.00960225,-0.00422059,0.01475675
0.06750000,-0.00970477,-0.02012674,9.84347981,-0.00816364,-0.01432231,-0.00387769
0.07000000,0.03462444,-0.00092547,9.77642957,0.00395832,-0.02726321,0.00622442
0.07250000,0.09209952,0.02131597,9.79227764,0.01927312,-0.02067341,0.01101783
0.07500000,-0.01342907,0.05836691,9.85127965,-0.00677554,-0.01045595,-0.01780891
0.07750000,-0.03025500,-0.03155783,9.87060403,0.00272459,-0.00780300,0.01816995
0.08000000,-0.08363026,-0.05534425,9.85522875,0.01410909,0.00678618,-0.01398924
0.08250000,-0.04615410,0.06833899,9.76340387,0.00046286,-0.00995904,0.00150065
0.08500000,-0.05426893,-0.07848300,9.82126237,0.01141777,-0.00380864,-0.00991424
0.08750000,-0.00555277,-0.05056643,9.82471324,0.00210124,-0.00995112,-0.00010007
0.09000000,-0.02523258,0.00067740,9.85164676,-0.00053618,0.00702503,-0.00158083
0.09250000,0.03294703,-0.06602357,9.86430926,0.00498573,0.00545453,-0.00582986
0.09500000,0.02308906,0.02965147,9.86797535,0.01033521,-0.01367461,0.00130230
0.09750000,-0.00441193,0.02716580,9.78374168,0.01319132,-0.03524626,-0.00247583
0.10000000,0.04434236,-0.09306739,9.85306613,-0.00223494,-0.00551807,-0.01120997
0.10250000,0.01630527,-0.09591418,9.83588802,-0.00157414,-0.01882661,0.00019034
